TIA
EVN
BAK
SOF
MSQ
PRG
ZAG
TLL
TBS
BUD
TSE
VNO
BRU
IEV
BRN
PAR
SKP
BEG
MLA
MAD
WAW
BER
STO
BTS
TGD
ATH
LON
AMS
VIE
SJJ
MCM
ECN
LUX
OSL
ANK
DUB
KIV
BUH
CPH
HEL
MOW
KEF
LJU
SOF
LIS
RIX
FCO
